estimate,pe,se,t_stat,p_value,ci_lo,ci_hi,pub_bias,expected_sign,program,extended,international,regulation,clusterid,baseline,extended_international,extended_regulation,international_regulation,complete_sample,abs_t_stat,id
Baseline weatherization reduction,-.471,.0313,-15.0479233226837,,,,1,1,ihwap_nb,1,1,1,49,1,1,1,1,1,15.047923,ihwap_nbBaseline weatherization reduction
"Percent change in consumption of electricity from WAP, IV-FE",-.166,.0633,-2.622432859399684,,,,1,1,jet_fuel,1,1,1,51,1,1,1,1,1,2.6224329,"jet_fuelPercent change in consumption of electricity from WAP, IV-FE"
Experience exponent,.421,.063,6.682539682539682,,,,1,1,k_gas_15_22,1,1,1,52,1,1,1,1,1,6.6825395,k_gas_15_22Experience exponent
Demand elasticity of gas,-.198,.053,-3.735849056603774,,,,1,1,k_gas_15_22,1,1,1,52,1,1,1,1,1,3.7358491,k_gas_15_22Demand elasticity of gas
Experience exponent,.421,.063,6.682539682539682,,,,1,1,levin_gas,1,1,1,54,1,1,1,1,1,6.6825395,levin_gasExperience exponent
Elasticity of demand for gasoline,-.295,.031,-9.516129032258064,,,,1,1,levin_gas,1,1,1,54,1,1,1,1,1,9.5161295,levin_gasElasticity of demand for gasoline
Experience exponent,.421,.063,6.682539682539682,,,,1,1,li_gas,1,1,1,55,1,1,1,1,1,6.6825395,li_gasExperience exponent
Demand elasticity of gasoline,-.323,.0828,-3.900966183574879,,,,1,1,li_gas,1,1,1,55,1,1,1,1,1,3.9009662,li_gasDemand elasticity of gasoline
Demand elasticity of solar photovoltaics,-.355,.117,-3.034188034188034,,,,1,1,manzan_gas,1,1,1,56,1,1,1,1,1,3.034188,manzan_gasDemand elasticity of solar photovoltaics
Experience exponent,.421,.063,6.682539682539682,,,,1,1,manzan_gas,1,1,1,56,1,1,1,1,1,6.6825395,manzan_gasExperience exponent
Tobit Coefficient: Effect of unit increase on user cost of capital  on Capacity,-1064.5,311.5,-3.417335473515249,,,,1,1,metcalf_ptc,1,1,1,57,1,1,1,1,1,3.4173355,metcalf_ptcTobit Coefficient: Effect of unit increase on user cost of capital  on Capacity
Experience exponent,.194,.041,4.73170731707317,,,,1,1,metcalf_ptc,1,1,1,57,1,1,1,1,1,4.7317071,metcalf_ptcExperience exponent
EV elasticity of demand,-2.1,.46,-4.565217391304348,,,,1,1,muehl_efmp,1,1,1,58,1,1,1,1,1,4.5652175,muehl_efmpEV elasticity of demand
Experience exponent,.421,.063,6.682539682539682,,,,1,1,muehl_efmp,1,1,1,58,1,1,1,1,1,6.6825395,muehl_efmpExperience exponent
"average residual subsidy inclusive price on avg total subsidy,  DinD",-.85,.15,-5.666666666666667,,,,1,1,muehl_efmp,1,1,1,58,1,1,1,1,1,5.6666665,"muehl_efmpaverage residual subsidy inclusive price on avg total subsidy,  DinD"
IV Tobit effect of rebate on yearly count of newly installed res. systems,.472,.0826,5.714285714285714,,,,1,1,ne_solar,1,1,1,60,1,1,1,1,1,5.7142859,ne_solarIV Tobit effect of rebate on yearly count of newly installed res. systems
Experience exponent,.319,.043,7.418604651162791,,,,1,1,ne_solar,1,1,1,60,1,1,1,1,1,7.4186049,ne_solarExperience exponent
Experience exponent,.421,.063,6.682539682539682,,,,1,1,park_gas,1,1,1,64,1,1,1,1,1,6.6825395,park_gasExperience exponent
IV of price squared on HO Installation Rate,.053,.099,.5353535353535354,,,,1,1,pless_ho,1,1,1,65,1,1,1,1,1,.53535354,pless_hoIV of price squared on HO Installation Rate
Experience exponent,.319,.043,7.418604651162791,,,,1,1,pless_ho,1,1,1,65,1,1,1,1,1,7.4186049,pless_hoExperience exponent
IV of price on HO Installation Rate,-.534,.898,-.5946547884187082,,,,1,1,pless_ho,1,1,1,65,1,1,1,1,1,.5946548,pless_hoIV of price on HO Installation Rate
