estimate,pe,se,t_stat,p_value,ci_lo,ci_hi,pub_bias,expected_sign,program,extended,international,regulation,clusterid,baseline,extended_international,extended_regulation,international_regulation,complete_sample,abs_t_stat
annual wind capacity additions on PTC ,28.15,12.06,2.334162520729685,,,,1,1,shirmali_ptc,1,1,1,63,1,1,1,1,1,2.3341625
Experience exponent,.194,.041,4.73170731707317,,,,1,1,shirmali_ptc,1,1,1,63,1,1,1,1,1,4.7317071
Experience exponent,.421,.063,6.682539682539682,,,,1,1,small_gas_lr,1,1,1,64,1,1,1,1,1,6.6825395
Demand elasticity of solar photovoltaics,.334,.0451,7.405764966740577,,,,1,1,small_gas_lr,1,1,1,64,1,1,1,1,1,7.4057651
Treatment Effect on average pre-incentive installed price (2014$/W),.64,.07,9.142857142857142,,,,1,1,solarize,1,1,1,66,1,1,1,1,1,9.1428576
Experience exponent,.319,.043,7.418604651162791,,,,1,1,solarize,1,1,1,66,1,1,1,1,1,7.4186049
"Treatment Effect on average pre-incentive installed price (2014$/W), randomized across CT",.15,.03,5,,,,1,1,solarize,1,1,1,66,1,1,1,1,1,5
Experience exponent,.421,.063,6.682539682539682,,,,1,1,su_gas,1,1,1,67,1,1,1,1,1,6.6825395
Demand elasticity of gasoline ,.397,.1575396825396825,2.52,,,,1,1,su_gas,1,1,1,67,1,1,1,1,1,2.52
"Percent change in consumption of electricity from WAP, IV-FE",.1,.1,1,,,,1,1,wap,1,1,1,69,1,1,1,1,1,1
"Percent change in consumption of gas from WAP, IV-FE",.21,.08,2.625,,,,1,1,wap,1,1,1,69,1,1,1,1,1,2.625
"Percent change in consumption of electricity from WAP, IV-FE",.1,.1,1,,,,1,1,wap_nudge,1,1,1,71,1,1,1,1,1,1
"Percent change in consumption of gas from WAP, IV-FE",.21,.08,2.625,,,,1,1,wap_nudge,1,1,1,71,1,1,1,1,1,2.625
